zone,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Chile,"30,95","29,47","30,61","32,40","35,63","38,79","44,74","51,95","53,04","56,68","52,75","50,52","51,41","52,75","57,54","58,34","60,09","65,75","68,34","65,77","70,26","76,30","78,72","82,74","76,69","81,49","86,12","86,93","87,07","86,43"
Colombia,"46,08","47,74","49,56","52,56","52,62","55,14","55,07","59,45","60,48","52,86","55,18","55,45","53,34","52,65","52,84","54,34","54,19","55,09","55,97","59,37","60,80","65,97","65,79","75,41","78,26","78,05","88,20","75,77","77,23","83,30"
Mexico,"264,11","283,46","285,67","291,58","316,06","298,00","310,74","327,51","349,86","341,91","364,44","365,22","371,10","389,68","399,38","415,56","429,67","437,06","438,31","429,05","444,90","460,77","462,78","453,01","437,88","445,43","448,66","448,09","438,28","433,31"
Venezuela,"93,58","93,07","95,04","100,60","100,93","106,85","114,89","119,50","120,22","108,99","116,91","124,08","123,40","123,19","128,20","138,40","134,11","130,10","159,66","160,75","171,71","145,97","164,30","152,46","151,87","140,78","127,57","113,89","99,60","86,56"
Asia,"4789,31","5015,05","5204,71","5482,57","5756,87","6119,75","6244,81","6378,84","6423,75","6533,38","6818,16","7026,01","7395,55","8081,92","8954,09","9679,64","10361,61","11044,75","11276,57","11900,57","12745,20","13643,56","14155,59","14659,74","14787,55","14836,54","14881,67","15243,33","15700,12","15878,72"
China,"2256,67","2371,67","2463,93","2633,38","2758,92","2946,93","2942,54","2971,94","3087,85","2999,15","3145,41","3280,07","3539,05","4115,15","4843,11","5470,08","6051,71","6513,12","6706,68","7217,64","7799,44","8488,98","8749,86","9162,77","9091,10","9082,73","9040,24","9200,41","9463,35","9729,01"
India,"522,75","561,95","593,33","624,40","664,87","723,57","758,68","791,38","808,07","872,35","910,22","923,06","953,46","980,32","1034,60","1084,01","1156,02","1252,57","1330,57","1496,12","1583,12","1669,91","1810,46","1853,45","2015,31","2026,26","2050,27","2157,84","2247,62","2222,27"
Indonesia,"147,80","160,41","168,31","182,99","194,00","216,32","233,98","253,71","256,20","277,43","272,58","290,65","296,89","325,31","331,89","335,65","354,06","371,80","363,75","377,26","376,45","401,14","432,00","429,54","468,34","470,35","466,10","506,61","546,78","580,96"
Japan,"1040,21","1047,00","1058,22","1050,27","1099,08","1109,37","1121,79","1110,65","1072,05","1108,95","1122,71","1110,90","1152,78","1161,60","1153,03","1152,20","1126,19","1163,95","1101,63","1053,47","1103,70","1160,79","1204,19","1210,56","1171,17","1135,36","1127,15","1111,96","1082,18","1045,02"
Malaysia,"50,74","61,25","64,39","70,17","75,33","82,45","92,92","100,15","100,27","108,60","117,98","123,59","129,84","135,88","149,43","160,03","167,01","185,59","196,07","177,73","194,79","199,84","203,25","222,07","228,90","228,53","227,54","228,23","237,38","243,59"
South Korea,"243,50","267,57","290,86","317,40","342,47","371,89","395,51","418,41","361,09","394,94","446,53","464,09","461,84","464,85","487,68","492,74","495,86","517,03","530,32","542,29","593,87","625,59","630,84","628,16","624,29","638,43","655,90","665,34","674,46","649,94"
Taiwan,"115,16","124,30","132,49","142,03","150,59","159,55","168,15","181,54","192,08","200,03","218,73","227,68","236,75","248,37","256,82","264,15","274,99","278,08","265,91","251,68","268,41","268,53","259,23","262,84","266,61","267,07","272,18","284,09","288,67","280,31"
