zone,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CIS,"13,66","14,13","15,03","16,75","18,76","18,57","17,27","17,69","18,58","18,63","17,91","18,48","17,68","17,01","18,19","17,89","16,81","16,75","15,41","17,08","16,32","15,65","15,35","16,58","15,88","15,48","16,72","17,16","17,28","17,57"
Kazakhstan,"8,43","8,37","8,30","9,85","13,82","12,50","12,42","12,50","12,50","12,91","14,67","14,21","15,24","13,50","12,04","11,58","10,84","10,67","9,29","8,74","9,71","9,10","8,23","7,51","7,88","8,87","11,24","11,29","10,25","10,12"
Russia,"15,34","15,69","17,05","18,23","20,10","20,52","18,23","18,89","19,29","19,08","18,85","19,74","18,44","17,25","19,13","18,37","17,65","17,68","16,07","17,80","16,28","15,94","15,68","17,29","16,72","16,01","17,21","17,21","17,42","17,93"
Ukraine,"3,59","4,28","3,20","4,89","6,07","5,23","4,83","5,64","9,21","8,43","6,68","7,06","5,65","5,22","6,54","6,74","6,76","5,39","6,14","6,98","7,09","5,75","5,91","8,12","6,02","5,30","6,61","7,98","9,02","7,17"
Uzbekistan,"11,80","11,13","12,34","14,97","14,97","13,04","14,37","12,54","12,61","15,56","7,53","9,08","12,20","16,76","12,27","18,73","9,52","9,52","8,94","12,94","15,76","10,80","12,55","10,44","10,89","12,26","12,38","13,64","11,81","11,18"
America,"25,21","25,02","24,69","25,31","24,82","25,67","26,58","26,19","24,48","24,14","23,58","22,06","23,42","23,51","23,42","23,81","24,49","24,13","24,74","26,18","25,57","27,89","27,56","27,83","27,77","27,99","29,74","31,61","31,65","32,36"
North America,"18,53","18,06","17,47","17,85","17,22","18,10","19,07","18,41","16,64","16,30","15,55","14,12","15,75","15,73","15,40","15,55","15,98","15,41","16,10","17,40","16,77","19,04","18,99","19,78","20,01","20,32","21,91","23,73","23,48","23,95"
Canada,"62,39","61,42","61,69","61,73","60,41","61,01","63,11","62,36","60,41","61,19","60,61","58,04","59,89","58,92","58,45","60,04","59,56","60,35","61,53","62,87","61,40","62,64","63,57","63,94","63,52","63,66","65,05","65,65","65,24","64,94"
United States,"11,96","11,33","10,48","11,00","10,31","11,39","12,20","11,59","10,22","9,63","8,81","7,42","9,20","9,49","9,22","9,12","9,79","8,91","9,53","10,78","10,61","12,69","12,41","13,03","13,38","13,63","15,26","17,29","17,36","17,88"
Latin America,"66,07","66,14","66,39","67,77","66,67","66,40","66,13","65,07","62,71","61,76","61,68","58,31","58,88","57,77","58,00","58,90","59,30","58,70","57,85","58,37","57,48","58,42","55,78","53,91","53,12","52,16","54,22","55,86","57,23","58,10"
Argentina,"35,78","30,74","35,13","39,22","42,87","40,35","33,47","39,53","36,52","27,54","33,21","41,84","43,59","37,97","31,69","33,69","37,25","30,06","26,54","29,18","28,77","32,48","29,49","31,68","31,79","28,38","27,22","29,48","29,82","31,66"
Brazil,"94,50","94,63","94,42","95,25","95,41","94,16","93,56","92,98","92,92","90,04","89,49","84,29","85,74","87,16","86,03","87,12","86,75","88,21","84,27","89,00","84,72","87,12","82,45","76,69","73,08","73,97","80,35","79,13","82,28","82,31"
Chile,"53,84","70,97","82,69","81,66","74,27","72,41","60,45","62,13","48,17","38,03","48,55","54,26","55,45","50,16","46,90","53,88","55,25","44,16","45,75","48,83","40,20","39,60","36,45","35,67","42,89","43,60","43,27","43,92","46,25","45,12"
Colombia,"76,38","75,68","68,67","73,25","78,49","76,40","82,99","71,64","69,75","79,86","75,52","74,34","76,50","78,79","81,65","80,17","80,60","81,53","84,01","72,88","72,12","83,47","79,55","69,42","69,30","64,02","65,87","79,60","76,05","72,57"
Mexico,"24,69","22,39","25,66","25,40","19,02","23,65","24,66","19,96","17,59","20,91","19,80","17,11","15,06","12,13","14,45","15,20","15,33","14,09","17,54","12,95","16,60","14,89","13,79","13,30","17,54","15,28","15,33","15,99","16,27","17,54"
Venezuela,"62,34","70,33","70,09","68,43","72,01","70,05","71,24","73,36","71,60","75,16","73,75","67,07","64,82","65,84","71,10","73,28","73,90","72,72","72,79","71,89","67,49","70,93","67,43","67,86","62,31","61,06","58,38","60,67","65,01","73,74"
Asia,"17,59","16,80","15,66","15,98","15,01","15,37","14,23","14,17","14,64","13,79","13,33","14,22","13,42","13,11","13,58","13,67","13,92","13,61","14,90","14,97","15,67","15,22","16,91","17,62","19,01","19,85","21,00","21,73","22,49","23,68"
China,"20,41","18,47","17,58","18,13","18,09","19,21","17,55","17,51","18,06","16,68","16,64","18,96","17,62","15,04","16,22","16,18","15,59","15,26","17,74","17,86","18,83","16,95","20,12","20,45","22,79","24,13","25,26","25,55","25,92","26,98"
India,"24,49","22,81","20,75","19,56","21,22","17,26","15,77","16,02","16,70","15,26","13,59","13,21","12,20","13,49","14,50","16,64","17,57","17,91","16,72","15,68","16,22","17,28","15,90","17,46","16,32","15,63","16,74","17,20","18,47","20,71"
Indonesia,"20,92","20,56","23,84","19,78","15,66","16,46","15,53","10,34","15,77","14,12","15,96","17,47","14,95","13,64","13,61","13,61","12,26","12,90","13,32","13,23","15,85","11,99","11,24","12,27","11,48","10,65","12,57","12,54","11,82","11,85"
Japan,"12,35","13,11","11,27","12,92","9,09","10,66","10,19","11,09","11,25","10,46","10,34","10,23","9,92","11,29","10,99","9,66","10,66","9,35","9,54","9,74","10,15","10,94","10,53","11,31","12,83","14,73","14,71","16,43","17,43","18,05"
Malaysia,"17,33","16,60","14,87","14,03","16,69","13,69","10,09","6,69","8,00","11,54","10,06","9,93","7,14","6,44","7,09","6,28","7,17","6,66","7,63","7,01","5,99","6,71","7,38","8,58","9,71","9,96","13,46","16,87","16,10","16,09"
South Korea,"6,04","4,40","3,86","4,15","2,51","3,12","2,73","2,44","2,83","2,60","1,97","1,95","1,66","2,06","1,68","1,43","1,43","1,40","1,54","1,65","1,80","2,05","2,02","2,38","2,47","2,59","3,50","4,02","4,53","4,77"
Taiwan,"9,08","5,56","7,92","5,83","7,13","6,67","6,37","6,66","6,86","5,70","5,35","5,49","3,82","4,02","3,84","4,27","4,31","4,51","4,34","4,26","4,19","4,07","4,80","4,94","4,42","4,65","5,41","5,21","5,18","6,10"
Thailand,"11,26","9,14","7,42","5,84","6,34","8,74","9,13","8,09","6,11","4,89","6,81","6,64","7,48","7,22","5,82","5,54","6,92","6,91","6,60","6,90","5,61","8,05","8,28","8,13","8,36","8,39","15,06","16,42","20,06","20,05"
Pacific,"22,56","22,82","21,39","22,66","23,11","22,97","21,68","20,26","19,75","18,56","18,77","16,86","17,56","17,72","18,55","17,90","18,30","17,77","17,13","17,46","18,69","20,50","20,07","22,50","24,49","23,53","24,92","25,44","26,77","27,42"
Australia,"10,08","10,76","10,30","10,78","10,35","9,81","9,39","9,76","8,60","8,71","8,54","8,25","7,93","8,53","8,28","8,92","9,34","8,71","8,17","7,52","8,62","10,40","10,53","13,18","14,63","13,34","14,60","15,68","17,10","18,20"
New Zealand,"80,01","77,19","72,58","77,02","82,06","83,85","79,07","70,09","75,65","69,53","71,50","63,56","69,48","66,01","72,27","64,35","64,72","65,51","64,27","71,72","73,30","76,18","71,85","74,26","79,21","80,12","84,26","81,18","83,43","81,88"
