Country,Product,Flow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Canada,Renewables and waste,Total final consumption (ktoe),7434,7418,7619,7535,6079,6179,6246,6758,6939,7419,6852,6717,7475,7439,8097,8441,8431,8363,7818,9903,9868,9826,9811,11114,11513,10801,10551,11184,11618,11852,10816,11935,11693,12835,12591,12041,12275,11558,10976,10979,11184,11215,11807,12367,12093,10687,10969,10931
Canada,Electricity,Total final consumption (ktoe),16575,17938,18923,20554,20179,21631,23242,24308,24896,26071,26896,26735,27996,30142,31510,32974,33605,35248,36007,35945,36285,36362,37123,37611,38406,38957,39456,39207,40060,41402,41316,42075,43066,43573,41985,41190,42053,41699,40701,40987,41741,41238,42397,43074,42848,42487,44172,45088
Canada,Heat,Total final consumption (ktoe),0,0,96,215,191,191,119,406,1047,1030,1093,1509,1210,1109,811,770,759,392,584,635,736,548,401,552,708,677,593,686,790,812,853,858,940,935,916,870,816,778,888,438,625,663,658,852,667,692,681,668
Canada,Total,Total final consumption (ktoe),116628,124738,131433,138138,131793,138471,143696,146331,153237,155072,150542,141933,140660,146227,150608,150873,153269,160094,163504,158461,157299,160191,164201,170262,173904,179716,181828,177468,183816,187439,181115,190209,196873,201658,194232,190742,196365,191882,183738,187321,194204,193982,196541,198022,197358,194954,198537,206063
Chile,"Coal, peat and oil shale",Total final consumption (ktoe),759,705,705,696,553,552,574,547,525,569,587,388,470,575,610,677,646,714,731,630,675,767,712,655,665,760,1210,819,804,638,821,657,657,640,604,762,467,511,270,422,355,210,185,152,220,214,288,231
Chile,"Crude, NGL and feedstocks",Total final consumption (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,Oil products,Total final consumption (ktoe),3799,3947,3842,3760,3281,3399,3588,3787,3901,4029,4090,3806,3812,3847,3756,3970,4132,4650,5077,5488,5912,6502,7057,7646,8222,8910,9595,9552,9392,9186,8818,8859,9002,9289,9555,9789,11117,11522,11641,12094,12743,12589,13542,13643,13823,14797,15215,15535
Chile,Natural gas,Total final consumption (ktoe),3,19,40,66,75,87,94,101,101,99,100,106,122,130,129,141,135,374,825,901,699,876,859,921,902,938,1619,1791,2615,3292,3385,3558,3489,3605,3506,3766,2297,1399,1446,2354,1954,1423,1417,1290,1506,1690,1693,2005
Chile,Nuclear,Total final consumption (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,Renewables and waste,Total final consumption (ktoe),1373,1337,1308,1380,1392,1455,1522,1629,1680,1758,1766,1814,1974,2106,2146,2209,2314,2382,2399,2748,3056,3309,3058,3191,3372,3539,3513,3682,3866,4107,3946,4066,3832,4084,4024,4217,4444,4554,4522,4284,5041,5391,5851,4052,3700,3755,3724,4063
Chile,Electricity,Total final consumption (ktoe),609,643,628,676,630,671,705,753,804,840,867,852,883,956,992,1052,1095,1186,1282,1332,1458,1661,1750,1862,2080,2317,2523,2662,2989,3160,3398,3521,3823,4046,4154,4369,4560,4601,4646,4707,4981,5352,5606,5774,5762,6034,5987,6280
Chile,Heat,Total final consumption (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
